NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN
Primary Route,11001602,9899.5123,9988.3999,2019/01/01 00:00:00+00,,{95A11B7D-E871-4A60-841D-4EE8B490B7D1},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151682,,0
Primary Route,11001602,7773.7123,7797.1786,2019/01/01 00:00:00+00,,{7108E69C-3464-4FF5-8A2E-38EF961B2E23},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151683,,0
Primary Route,11001602,1104.9776,1187.2989,2019/01/01 00:00:00+00,,{9AE842B8-98E4-4D5B-9EE8-73AE4CE25B25},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151684,,0
Primary Route,11001602,10277.8444,10287.2693,2019/01/01 00:00:00+00,,{0555805C-A411-4FD0-BD99-6E3D5AE1446C},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151685,,0
Primary Route,11001602,7972.7124,8057.2873,2019/01/01 00:00:00+00,,{279C06E7-BC10-4BF6-A49D-A185FC44132D},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151686,,0
Primary Route,11001602,1599.0527,1681.1435,2019/01/01 00:00:00+00,,{76D51F02-E34F-4FB9-9E60-853F8B022556},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151687,,0
Primary Route,11001602,6788.1605,6863.4644,2019/01/01 00:00:00+00,,{56ACB3D6-23C1-4C49-85EC-A078B6A5267B},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151688,,0
Primary Route,11001602,7885.6654,7972.7124,2019/01/01 00:00:00+00,,{F71D6A17-A898-401B-A17F-8D779A7840EB},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151689,,0
Primary Route,11001602,8770.1666,8848.2958,2019/01/01 00:00:00+00,,{4A2009E8-4964-4065-9032-60806AF3D8FF},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151690,,0
Primary Route,11001602,6274.82,6303.1717,2019/01/01 00:00:00+00,,{6FFC56A8-6B87-4522-9C00-5A1A2F4B4C2E},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151691,,0
Primary Route,11001602,6530.1185,6615.7688,2019/01/01 00:00:00+00,,{77A26AC1-6F1A-418F-9E66-9D43A667F2B1},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151692,,0
Primary Route,11001602,3654.401,3729.9615,2019/01/01 00:00:00+00,,{53D00FF8-6B48-47C2-87C7-D5F7BB510562},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151693,,0
Primary Route,11001602,6863.4644,6962.8109,2019/01/01 00:00:00+00,,{AD3A4B55-5EBA-4242-9D36-1769E356521A},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151694,,0
Primary Route,11001602,1269.4494,1352.2398,2019/01/01 00:00:00+00,,{6433B78C-68EA-4BE4-AB0D-0738828CA506},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151695,,0
Primary Route,11001602,9010.8977,9065.235,2019/01/01 00:00:00+00,,{8A9BBCAC-B531-4B93-8E66-1F3C56980FBB},NO ERROR,,,RH,2020/09/21 13:00:53+00,,151696,,0
Primary Route,11001602,7560.0835,7666.7787,2019/01/01 00:00:00+00,,{C8E4FA64-5A02-4BEF-9DF4-B06C7E48748C},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152001,,0
Primary Route,11001602,1842.8924,1922.1006,2019/01/01 00:00:00+00,,{87A1FB19-3DAD-4D57-A89C-8107B6933B80},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152002,,0
Primary Route,11001602,6615.7688,6713.709,2019/01/01 00:00:00+00,,{6E4FA555-CB82-43DC-A0C7-85E9BE682961},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152003,,0
